LP,kwota,rachunekNadawcy,rachunekOdbiorcy,”opis”






11,288888222, 3454535345435, 79114012411068000013656666,SELECT * FROM Users WHERE Username = '' OR '1'='1' AND Password = 'anypassword'
8,288888222, 3454535345435, 79114012411068000013656666,znaki specjalne /* */ \n\n\n\\r\r\\\\\ !@#$%^&*(
2,2222, 3454535345435, 79114012411068000013656666,日本語テスト
4,244222, 83114675767011289, ,”dowolny opis pole 2”
1,1111, 83114012382444800997011289, 79114012411068000013653566,”dowolny opis”
2,2222, 83114012382444800997011289, 79114012411068000013656666,”dowolny opis pole 2”
3,33, 8311405756744800997011289, 7911401241106800660013656666,
2,2222, tu nie liczba, 79114012411068000013656666,”dowolny opis pole 2”

